item_code	item_name	sku_name	required_specs	optional_specs	item_group	top_group	sub_group	material_family	stock_uom	purchase_uom	conversion_factor	estimated_rate	currency	price_basis	aliases	search_keywords	brand	model	status	quality_level	agent_use_policy	source_item_codes	merged_count	governance_note	updated_at	classification_key	standard_name	required_attribute_keys	missing_required_specs	classification_status	source_item_name	source_sku_name	source_required_specs	source_item_group	source_material_family	rule_version
ELEC-000070	对讲机	对讲机 长城 A99 高功率	品牌: 长城; 型号: A99; 特征: 高功率		弱电安防/对讲通信	弱电安防	对讲通信	对讲通信	部	部	1	332.00	CNY	按部估价;按物料族“对讲通信”抽样复核中位数调整;样本数=1;可靠性=low;调整系数=1.6600;金额按四舍五入保留两位小数。	A99长城高功率对讲机; 对讲机 长城 A99	ELEC-000070 对讲机 对讲机 长城 A99 A99长城高功率对讲机 长城 A99 高功率	长城	A99	active	needs_review	clarify_specs_before_use	ELEC-000070	1	missing_required_specs:频率	2026-07-08	弱电安防|对讲通信|对讲机	对讲机	brand,model,特征,频率	频率	needs_input	对讲机	对讲机 长城 A99	品牌:长城;型号:A99;特征:高功率	弱电安防/对讲通信	对讲通信	material-entry-rules-v1.1
ELEC-000071	电缆	电缆 3*4+2*2.5 起帆 YJV	规格: 3*4+2*2.5; 品牌: 起帆; 型号: YJV		电气电料/电线电缆	电气电料	电线电缆	电线电缆	米	米	1	18.15	CNY	按起帆YJV 3*4+2*2.5电缆市场均价9元/米估价;按物料族“电线电缆”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=2.0171;金额按四舍五入保留两位小数。	3*4+2*2.5起帆电缆线; 起帆3*4+2*2.5电线; 3*4+2*2.5起帆电缆; 电缆线; 电缆 YJV 3*4+2*2.5 铜芯	ELEC-000071 电缆 电缆 YJV 3*4+2*2.5 铜芯 3*4+2*2.5起帆电缆线 起帆3*4+2*2.5电线 3*4+2*2.5起帆电缆 电缆线 3*4+2*2.5 起帆 YJV	起帆	YJV	active	standard	auto_select_allowed	ELEC-000071	1		2026-07-08	电气电料|电线电缆|电缆	电缆	specification,brand,model		ready	电缆	电缆 YJV 3*4+2*2.5 铜芯	型号:YJV;规格:3*4+2*2.5	电气电料/电线电缆	电线电缆	material-entry-rules-v1.1
ELEC-000072	电缆	电缆 3*1.5 起帆 YJV	规格: 3*1.5; 品牌: 起帆; 型号: YJV		电气电料/电线电缆	电气电料	电线电缆	电线电缆	米	米	1	6.05	CNY	按起帆YJV 3*1.5电缆市场均价3元/米估价;按物料族“电线电缆”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=2.0171;金额按四舍五入保留两位小数。	3*1.5起帆电缆线; 电缆线; 3*1.5电缆线; 电缆 YJV 3*1.5 铜芯	ELEC-000072 电缆 电缆 YJV 3*1.5 铜芯 3*1.5起帆电缆线 电缆线 3*1.5电缆线 3*1.5 起帆 YJV	起帆	YJV	active	standard	auto_select_allowed	ELEC-000072	1		2026-07-08	电气电料|电线电缆|电缆	电缆	specification,brand,model		ready	电缆	电缆 YJV 3*1.5 铜芯	型号:YJV;规格:3*1.5	电气电料/电线电缆	电线电缆	material-entry-rules-v1.1
ELEC-000073	电缆	电缆 3*2.5 起帆 YJV	规格: 3*2.5; 品牌: 起帆; 型号: YJV		电气电料/电线电缆	电气电料	电线电缆	电线电缆	米	米	1	10.09	CNY	按起帆YJV 3*2.5电缆市场均价5元/米估价;按物料族“电线电缆”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=2.0171;金额按四舍五入保留两位小数。	3*2.5起帆电缆; 3*2.5起帆电缆线; 电缆线; 起帆电缆3*2.5; 电缆 YJV 3*2.5 铜芯	ELEC-000073 电缆 电缆 YJV 3*2.5 铜芯 3*2.5起帆电缆 3*2.5起帆电缆线 电缆线 起帆电缆3*2.5 3*2.5 起帆 YJV	起帆	YJV	active	standard	auto_select_allowed	ELEC-000073	1		2026-07-08	电气电料|电线电缆|电缆	电缆	specification,brand,model		ready	电缆	电缆 YJV 3*2.5 铜芯	型号:YJV;规格:3*2.5	电气电料/电线电缆	电线电缆	material-entry-rules-v1.1
ELEC-000074	电源适配器	电源适配器 12V 1A	规格: 12V; 输出电压: 12V; 输出电流: 1A		电气电料/低压电器	电气电料	低压电器	低压电器	个	个	1	15.00	CNY	按个估价;按物料族“低压电器”抽样复核中位数调整;样本数=5;可靠性=high;调整系数=1.0000;金额按四舍五入保留两位小数。	12V1A适配器; 电源适配器 12V 1A	ELEC-000074 电源适配器 电源适配器 12V 1A 12V1A适配器 12V 1A			active	standard	auto_select_allowed	ELEC-000074	1		2026-07-08	电气电料|低压电器|电源适配器	电源适配器	specification,输出电压,输出电流		ready	电源适配器	电源适配器 12V 1A	输出电压:12V;输出电流:1A	电气电料/低压电器	低压电器	material-entry-rules-v1.1
ELEC-000075	照明灯	照明灯 50W LED	规格: 50W; 功率: 50W; 光源: LED		电气电料/照明光源	电气电料	照明光源	照明光源	个	个	1	95.34	CNY	Estimated based on typical price for 50W LED light.;按物料族“照明光源”抽样复核中位数调整;样本数=2;可靠性=low;调整系数=2.3834;金额按四舍五入保留两位小数。	50WLED浴室灯; LED浴室灯; 照明灯 50W LED	ELEC-000075 照明灯 照明灯 50W LED 50WLED浴室灯 LED浴室灯 50W LED			active	needs_review	clarify_specs_before_use	ELEC-000075	1	missing_required_specs:brand,供电	2026-07-08	电气电料|照明光源|照明灯	照明灯	specification,power,brand,供电,光源	brand,供电	needs_input	照明灯	照明灯 50W LED	功率:50W;光源:LED	电气电料/照明光源	照明光源	material-entry-rules-v1.1
ELEC-000077	照明灯	照明灯 80W 公牛 太阳能 LED	规格: 80W; 功率: 80W; 品牌: 公牛; 供电: 太阳能; 光源: LED		电气电料/照明光源	电气电料	照明光源	照明光源	套	套	1	286.01	CNY	Estimated based on typical price for 80W solar LED light set.;按物料族“照明光源”抽样复核中位数调整;样本数=2;可靠性=low;调整系数=2.3834;金额按四舍五入保留两位小数。	公牛80w太阳能LED灯; 太阳能LED灯; 照明灯 80W 太阳能LED	ELEC-000077 照明灯 照明灯 80W 太阳能LED 公牛80w太阳能LED灯 太阳能LED灯 80W 公牛 太阳能 LED	公牛		active	standard	auto_select_allowed	ELEC-000077	1		2026-07-08	电气电料|照明光源|照明灯	照明灯	specification,power,brand,供电,光源		ready	照明灯	照明灯 80W 太阳能LED	功率:80W;供电:太阳能;光源:LED	电气电料/照明光源	照明光源	material-entry-rules-v1.1
ELEC-000078	灯带	灯带 36V 雷士 120珠	规格: 36V; 额定电压: 36V; 品牌: 雷士; 灯珠: 120珠		电气电料/照明光源	电气电料	照明光源	照明光源	米	米	1	35.75	CNY	Estimated based on typical price per meter for 36V LED strip.;按物料族“照明光源”抽样复核中位数调整;样本数=2;可靠性=low;调整系数=2.3834;金额按四舍五入保留两位小数。	LED灯带; 灯带 36V 120珠	ELEC-000078 灯带 灯带 36V 120珠 LED灯带 36V 雷士 120珠	雷士		active	standard	auto_select_allowed	ELEC-000078	1		2026-07-08	电气电料|照明光源|灯带	灯带	specification,rated_voltage,brand,灯珠		ready	灯带	灯带 36V 120珠	电压:36V;灯珠:120珠	电气电料/照明光源	照明光源	material-entry-rules-v1.1
ELEC-000079	开关电源	开关电源 36V 400W 220V AC	规格: 36V; 功率: 400W; 输入电压: 220V AC; 输出电压: 36V		电气电料/低压电器	电气电料	低压电器	低压电器	个	个	1	80.00	CNY	按单个估价;按物料族“低压电器”抽样复核中位数调整;样本数=5;可靠性=high;调整系数=1.0000;金额按四舍五入保留两位小数。	36V 400w电源; 开关电源 36V 400W	ELEC-000079 开关电源 开关电源 36V 400W 36V 400w电源 36V 400W 220V AC			active	standard	auto_select_allowed	ELEC-000079	1		2026-07-08	电气电料|低压电器|开关电源	开关电源	specification,power,输入电压,输出电压		ready	开关电源	开关电源 36V 400W	输出电压:36V;功率:400W;输入电压:220V AC	电气电料/低压电器	低压电器	material-entry-rules-v1.1
ELEC-000080	断路器	断路器 100A 3P	规格: 100A; 额定电流: 100A; 极数: 3P		电气电料/低压电器	电气电料	低压电器	低压电器	个	个	1	80.00	CNY	按个估价;按物料族“低压电器”抽样复核中位数调整;样本数=5;可靠性=high;调整系数=1.0000;金额按四舍五入保留两位小数。	100A总开关; 总开关; 断路器 100A 3P	ELEC-000080 断路器 断路器 100A 3P 100A总开关 总开关 100A 3P			active	needs_review	clarify_specs_before_use	ELEC-000080	1	missing_required_specs:brand,model,结构	2026-07-08	电气电料|低压电器|断路器	断路器	specification,rated_current,brand,model,极数,结构	brand,model,结构	needs_input	断路器	断路器 100A 3P	电流:100A;极数:3P	电气电料/低压电器	低压电器	material-entry-rules-v1.1
ELEC-000081	漏电保护器	漏电保护器 40A 2P	规格: 40A; 额定电流: 40A; 极数: 2P		电气电料/低压电器	电气电料	低压电器	低压电器	个	个	1	70.00	CNY	按个估价;按物料族“低压电器”抽样复核中位数调整;样本数=5;可靠性=high;调整系数=1.0000;金额按四舍五入保留两位小数。	40A漏电保护; 漏电保护器 40A	ELEC-000081 漏电保护器 漏电保护器 40A 40A漏电保护 40A 2P			active	needs_review	clarify_specs_before_use	ELEC-000081	1	missing_required_specs:brand	2026-07-08	电气电料|低压电器|漏电保护器	漏电保护器	specification,rated_current,brand,极数	brand	needs_input	漏电保护器	漏电保护器 40A	极数:2P;电流:40A	电气电料/低压电器	低压电器	material-entry-rules-v1.1
ELEC-000082	断路器	断路器 16A 1P	规格: 16A; 额定电流: 16A; 极数: 1P		电气电料/低压电器	电气电料	低压电器	低压电器	个	个	1	10.00	CNY	按个估价;按物料族“低压电器”抽样复核中位数调整;样本数=5;可靠性=high;调整系数=1.0000;金额按四舍五入保留两位小数。	16A空开; 空气开关; 断路器 1P 16A	ELEC-000082 断路器 断路器 1P 16A 16A空开 空气开关 16A 1P			active	needs_review	clarify_specs_before_use	ELEC-000082	1	missing_required_specs:brand,model,结构	2026-07-08	电气电料|低压电器|断路器	断路器	specification,rated_current,brand,model,极数,结构	brand,model,结构	needs_input	断路器	断路器 1P 16A	电流:16A;极数:1P	电气电料/低压电器	低压电器	material-entry-rules-v1.1
ELEC-000084	头灯	头灯 充电 LED	供电方式: 充电; 光源类型: LED		电气电料/照明光源	电气电料	照明光源	照明光源	个	个	1	71.50	CNY	Estimated based on typical price for rechargeable LED headlamp.;按物料族“照明光源”抽样复核中位数调整;样本数=2;可靠性=low;调整系数=2.3834;金额按四舍五入保留两位小数。	LED充电头灯; 头灯 充电式 LED	ELEC-000084 头灯 头灯 充电式 LED LED充电头灯 充电 LED			active	standard	auto_select_allowed	ELEC-000084	1		2026-07-08	电气电料|照明光源|头灯	头灯	供电方式,光源类型		ready	头灯	头灯 充电式 LED	供电方式:充电;光源类型:LED	电气电料/照明光源	照明光源	material-entry-rules-v1.1
ELEC-000085	电源线	电源线 2米 C13	长度: 2米; 接口: C13		电气电料/电线电缆	电气电料	电线电缆	电线电缆	条	条	1	24.21	CNY	按C13电源线2米市场均价12元/条估价;按物料族“电线电缆”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=2.0171;金额按四舍五入保留两位小数。	2米电源线; 电源线 C13 2米	ELEC-000085 电源线 电源线 C13 2米 2米电源线 2米 C13			active	standard	auto_select_allowed	ELEC-000085	1		2026-07-08	电气电料|电线电缆|电源线	电源线	length,接口		ready	电源线	电源线 C13 2米	接口:C13;长度:2米	电气电料/电线电缆	电线电缆	material-entry-rules-v1.1
ELEC-000086	路由器	路由器 华为 802.11ac 4个LAN口 1000Mbps	品牌: 华为; 无线标准: 802.11ac; 端口: 4个LAN口; 速率: 1000Mbps		弱电安防/网络通信	弱电安防	网络通信	网络通信	套	套	1	140.00	CNY	按套估价,含电源适配器;按物料族“网络通信”抽样复核中位数调整;样本数=1;可靠性=low;调整系数=0.7000;金额按四舍五入保留两位小数。	1000M华为路由器; 路由器 1000M	ELEC-000086 路由器 路由器 1000M 1000M华为路由器 华为 802.11ac 4个LAN口 1000Mbps	华为		active	standard	auto_select_allowed	ELEC-000086	1		2026-07-08	弱电安防|网络通信|路由器	路由器	brand,无线标准,端口,速率		ready	路由器	路由器 1000M	品牌:华为;速率:1000Mbps;端口:4个LAN口;无线标准:802.11ac	弱电安防/网络通信	网络通信	material-entry-rules-v1.1
ELEC-000087	保险管	保险管 32A 6x30mm 250V	规格: 32A; 尺寸: 6x30mm; 额定电压: 250V; 额定电流: 32A		电气电料/低压电器	电气电料	低压电器	低压电器	个	个	1	1.00	CNY	按单个估价;按物料族“低压电器”抽样复核中位数调整;样本数=5;可靠性=high;调整系数=1.0000;金额按四舍五入保留两位小数。	32A保险管; 保险管 32A 6x30mm	ELEC-000087 保险管 保险管 32A 6x30mm 32A保险管 32A 6x30mm 250V			active	standard	auto_select_allowed	ELEC-000087	1		2026-07-08	电气电料|低压电器|保险管	保险管	specification,size,rated_voltage,rated_current		ready	保险管	保险管 32A 6x30mm	电流:32A;电压:250V;尺寸:6x30mm	电气电料/低压电器	低压电器	material-entry-rules-v1.1
ELEC-000088	漏电断路器	漏电断路器 400A 施耐德 4P	规格: 400A; 额定电流: 400A; 品牌: 施耐德; 极数: 4P		电气电料/低压电器	电气电料	低压电器	低压电器	个	个	1	350.00	CNY	按个估价,品牌施耐德;按物料族“低压电器”抽样复核中位数调整;样本数=5;可靠性=high;调整系数=1.0000;金额按四舍五入保留两位小数。	施耐德400A漏电开关; 漏电断路器 4P 400A	ELEC-000088 漏电断路器 漏电断路器 4P 400A 施耐德400A漏电开关 400A 施耐德 4P	施耐德		active	needs_review	clarify_specs_before_use	ELEC-000088	1	missing_required_specs:类型	2026-07-08	电气电料|低压电器|漏电断路器	漏电断路器	specification,rated_current,brand,极数,类型	类型	needs_input	漏电断路器	漏电断路器 4P 400A	极数:4P;电流:400A	电气电料/低压电器	低压电器	material-entry-rules-v1.1
ELEC-000089	电瓶夹线	电瓶夹线 50A 1m 铜	规格: 50A; 长度: 1m; 材质: 铜; 额定电流: 50A		电气电料/电线电缆	电气电料	电线电缆	电线电缆	套	套	1	50.43	CNY	按电瓶夹线1米50A市场均价25元/套估价;按物料族“电线电缆”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=2.0171;金额按四舍五入保留两位小数。	电瓶夹带线; 电瓶夹线 1m 50A 铜芯	ELEC-000089 电瓶夹线 电瓶夹线 1m 50A 铜芯 电瓶夹带线 50A 1m 铜			active	standard	auto_select_allowed	ELEC-000089	1		2026-07-08	电气电料|电线电缆|电瓶夹线	电瓶夹线	specification,length,material,rated_current		ready	电瓶夹线	电瓶夹线 1m 50A 铜芯	长度:1m;额定电流:50A;材质:铜	电气电料/电线电缆	电线电缆	material-entry-rules-v1.1
ELEC-000090	蓄电池	蓄电池 12V 20Ah	规格: 12V; 容量: 20Ah; 额定电压: 12V		电气电料/电源/电池	电气电料	电源/电池	电源/电池	个	个	1	135.00	CNY	按12V20Ah铅酸蓄电池市场均价估价;原数据缺容量,按常见20Ah补齐;按物料族“电源/电池”抽样复核中位数调整;样本数=1;可靠性=low;调整系数=1.1250;金额按四舍五入保留两位小数。	12v蓄电池; 蓄电池 12V 20Ah	ELEC-000090 蓄电池 蓄电池 12V 20Ah 12v蓄电池 12V 20Ah			active	standard	auto_select_allowed	ELEC-000090	1		2026-07-08	电气电料|电源/电池|蓄电池	蓄电池	specification,capacity,rated_voltage		ready	蓄电池	蓄电池 12V 20Ah	电压:12V;容量:20Ah	电气电料/电源/电池	电源/电池	material-entry-rules-v1.1
ELEC-000091	线鼻子	线鼻子 300A 铜	规格: 300A; 材质: 铜; 额定电流: 300A		电气电料/接线端子/线鼻子	电气电料	接线端子/线鼻子	接线端子/线鼻子	个	个	1	10.00	CNY	按个估价;按物料族“接线端子/线鼻子”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=1.0000;金额按四舍五入保留两位小数。	300A铜鼻子; 铜鼻子; 铜鼻子 300A	ELEC-000091 线鼻子 铜鼻子 300A 300A铜鼻子 铜鼻子 300A 铜			active	needs_review	clarify_specs_before_use	ELEC-000091	1	missing_required_specs:model,适配线径	2026-07-08	电气电料|接线端子/线鼻子|线鼻子	线鼻子	specification,material,rated_current,model,适配线径	model,适配线径	needs_input	线鼻子	铜鼻子 300A	材质:铜;额定电流:300A	电气电料/接线端子/线鼻子	接线端子/线鼻子	material-entry-rules-v1.1
ELEC-000095	插头	插头 220V 16A 快速插头	规格: 220V; 额定电压: 220V; 额定电流: 16A; 类型: 快速插头		电气电料/开关插座	电气电料	开关插座	开关插座	个	个	1	14.16	CNY	按个估价;按物料族“开关插座”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=1.1800;金额按四舍五入保留两位小数。	220v快速插头; 快速插头; 快速插头 220V 16A	ELEC-000095 插头 快速插头 220V 16A 220v快速插头 快速插头 220V 16A			active	needs_review	clarify_specs_before_use	ELEC-000095	1	missing_required_specs:brand,极数	2026-07-08	电气电料|开关插座|插头	插头	specification,rated_voltage,rated_current,brand,极数,类型	brand,极数	needs_input	插头	快速插头 220V 16A	电压:220V;类型:快速插头;额定电流:16A	电气电料/开关插座	开关插座	material-entry-rules-v1.1
ELEC-000096	插座	插座 220V 16A 快速插座	规格: 220V; 额定电压: 220V; 额定电流: 16A; 类型: 快速插座		电气电料/开关插座	电气电料	开关插座	开关插座	个	个	1	17.70	CNY	按个估价;按物料族“开关插座”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=1.1800;金额按四舍五入保留两位小数。	220v快速插座; 快速插座; 快速插座 220V 16A	ELEC-000096 插座 快速插座 220V 16A 220v快速插座 快速插座 220V 16A			active	needs_review	clarify_specs_before_use	ELEC-000096	1	missing_required_specs:color,brand,model,usb电流,usb输出,孔位,安装方式,输入电压,输出电压	2026-07-08	电气电料|开关插座|插座	插座	specification,rated_voltage,rated_current,color,brand,model,usb电流,usb输出,孔位,安装方式,类型,输入电压,输出电压	color,brand,model,usb电流,usb输出,孔位,安装方式,输入电压,输出电压	needs_input	插座	快速插座 220V 16A	电压:220V;类型:快速插座;额定电流:16A	电气电料/开关插座	开关插座	material-entry-rules-v1.1
ELEC-000097	插头	插头 380V 32A 快速插头	规格: 380V; 额定电压: 380V; 额定电流: 32A; 类型: 快速插头		电气电料/开关插座	电气电料	开关插座	开关插座	个	个	1	23.60	CNY	按个估价;按物料族“开关插座”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=1.1800;金额按四舍五入保留两位小数。	380v快速插头; 快速插头; 快速插头 380V 32A	ELEC-000097 插头 快速插头 380V 32A 380v快速插头 快速插头 380V 32A			active	needs_review	clarify_specs_before_use	ELEC-000097	1	missing_required_specs:brand,极数	2026-07-08	电气电料|开关插座|插头	插头	specification,rated_voltage,rated_current,brand,极数,类型	brand,极数	needs_input	插头	快速插头 380V 32A	电压:380V;类型:快速插头;额定电流:32A	电气电料/开关插座	开关插座	material-entry-rules-v1.1
ELEC-000098	插座	插座 380V 32A 快速插座	规格: 380V; 额定电压: 380V; 额定电流: 32A; 类型: 快速插座		电气电料/开关插座	电气电料	开关插座	开关插座	个	个	1	25.96	CNY	按个估价;按物料族“开关插座”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=1.1800;金额按四舍五入保留两位小数。	380v快速插座; 快速插座; 快速插座 380V 32A	ELEC-000098 插座 快速插座 380V 32A 380v快速插座 快速插座 380V 32A			active	needs_review	clarify_specs_before_use	ELEC-000098	1	missing_required_specs:color,brand,model,usb电流,usb输出,孔位,安装方式,输入电压,输出电压	2026-07-08	电气电料|开关插座|插座	插座	specification,rated_voltage,rated_current,color,brand,model,usb电流,usb输出,孔位,安装方式,类型,输入电压,输出电压	color,brand,model,usb电流,usb输出,孔位,安装方式,输入电压,输出电压	needs_input	插座	快速插座 380V 32A	电压:380V;类型:快速插座;额定电流:32A	电气电料/开关插座	开关插座	material-entry-rules-v1.1
ELEC-000099	电池	电池 7号 南孚 碱性	规格: 7号; 品牌: 南孚; 类型: 碱性		电气电料/电源/电池	电气电料	电源/电池	电源/电池	节	节	1	2.81	CNY	按南孚7号碱性电池零售均价2.5元/节估价;按物料族“电源/电池”抽样复核中位数调整;样本数=1;可靠性=low;调整系数=1.1250;金额按四舍五入保留两位小数。	7号电池; 南孚电池7号; 电池 7号 碱性电池	ELEC-000099 电池 电池 7号 碱性电池 7号电池 南孚电池7号 7号 南孚 碱性	南孚		active	needs_review	clarify_specs_before_use	ELEC-000099	1	missing_required_specs:rated_voltage	2026-07-08	电气电料|电源/电池|电池	电池	specification,rated_voltage,brand,类型	rated_voltage	needs_input	电池	电池 7号 碱性电池	规格:7号;类型:碱性	电气电料/电源/电池	电源/电池	material-entry-rules-v1.1
ELEC-000100	漏电断路器	漏电断路器 63A 施耐德 2P	规格: 63A; 额定电流: 63A; 品牌: 施耐德; 极数: 2P		电气电料/低压电器	电气电料	低压电器	低压电器	个	个	1	90.00	CNY	按个估价,品牌施耐德;按物料族“低压电器”抽样复核中位数调整;样本数=5;可靠性=high;调整系数=1.0000;金额按四舍五入保留两位小数。	施耐德2P63A漏保; 施耐德2P63a漏电保护开关; 漏电断路器 2P 63A	ELEC-000100 漏电断路器 漏电断路器 2P 63A 施耐德2P63A漏保 施耐德2P63a漏电保护开关 63A 施耐德 2P	施耐德		active	needs_review	clarify_specs_before_use	ELEC-000100	1	missing_required_specs:类型	2026-07-08	电气电料|低压电器|漏电断路器	漏电断路器	specification,rated_current,brand,极数,类型	类型	needs_input	漏电断路器	漏电断路器 2P 63A	极数:2P;电流:63A	电气电料/低压电器	低压电器	material-entry-rules-v1.1
ELEC-000101	电线	电线 1.5mm 起帆 BV 1.5mm2	规格: 1.5mm; 品牌: 起帆; 型号: BV; 截面积: 1.5mm2		电气电料/电线电缆	电气电料	电线电缆	电线电缆	米	米	1	1.61	CNY	按起帆BV1.5平方电线市场均价0.8元/米估价;按物料族“电线电缆”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=2.0171;金额按四舍五入保留两位小数。	起帆1.5平方电线; 电线 BV 1.5mm2 硬线	ELEC-000101 电线 电线 BV 1.5mm2 硬线 起帆1.5平方电线 1.5mm 起帆 BV 1.5mm2	起帆	BV	active	standard	auto_select_allowed	ELEC-000101	1		2026-07-08	电气电料|电线电缆|电线	电线	specification,brand,model,截面积		ready	电线	电线 BV 1.5mm2 硬线	型号:BV;截面积:1.5mm2	电气电料/电线电缆	电线电缆	material-entry-rules-v1.1
ELEC-000102	接线端子	接线端子 铜 4平方	材质: 铜; 适配线径: 4平方		电气电料/接线端子/线鼻子	电气电料	接线端子/线鼻子	接线端子/线鼻子	个	个	1	1.50	CNY	按个估价;按物料族“接线端子/线鼻子”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=1.0000;金额按四舍五入保留两位小数。	4平方铜接线端子; 铜接线端子; 铜接线端子 4平方	ELEC-000102 接线端子 铜接线端子 4平方 4平方铜接线端子 铜接线端子 铜 4平方			active	needs_review	clarify_specs_before_use	ELEC-000102	1	missing_required_specs:color,model	2026-07-08	电气电料|接线端子/线鼻子|接线端子	接线端子	material,color,model,适配线径	color,model	needs_input	接线端子	铜接线端子 4平方	材质:铜;适配线径:4平方	电气电料/接线端子/线鼻子	接线端子/线鼻子	material-entry-rules-v1.1
ELEC-000103	接线端子	接线端子 铜 6平方	材质: 铜; 适配线径: 6平方		电气电料/接线端子/线鼻子	电气电料	接线端子/线鼻子	接线端子/线鼻子	个	个	1	2.00	CNY	按个估价;按物料族“接线端子/线鼻子”抽样复核中位数调整;样本数=3;可靠性=medium;调整系数=1.0000;金额按四舍五入保留两位小数。	6平方铜接线端子; 铜接线端子; 铜接线端子 6平方	ELEC-000103 接线端子 铜接线端子 6平方 6平方铜接线端子 铜接线端子 铜 6平方			active	needs_review	clarify_specs_before_use	ELEC-000103	1	missing_required_specs:color,model	2026-07-08	电气电料|接线端子/线鼻子|接线端子	接线端子	material,color,model,适配线径	color,model	needs_input	接线端子	铜接线端子 6平方	材质:铜;适配线径:6平方	电气电料/接线端子/线鼻子	接线端子/线鼻子	material-entry-rules-v1.1
ELEC-000104	信号电缆	信号电缆 3*1.5 屏蔽	规格: 3*1.5; 特性: 屏蔽		电气电料/电线电缆	电气电料	电线电缆	电线电缆	米	米	1	6.45	CNY	按信号电缆3*1.5屏蔽线市场均价3.2元/米估价;按物料族“电线电缆”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=2.0171;金额按四舍五入保留两位小数。	3*1.5信号屏蔽电缆线; 屏蔽信号电缆; 信号电缆 3*1.5 屏蔽	ELEC-000104 信号电缆 信号电缆 3*1.5 屏蔽 3*1.5信号屏蔽电缆线 屏蔽信号电缆 3*1.5 屏蔽			active	needs_review	clarify_specs_before_use	ELEC-000104	1	missing_required_specs:model	2026-07-08	电气电料|电线电缆|信号电缆	信号电缆	specification,model,特性	model	needs_input	信号电缆	信号电缆 3*1.5 屏蔽	规格:3*1.5;特性:屏蔽	电气电料/电线电缆	电线电缆	material-entry-rules-v1.1
ELEC-000105	电缆	电缆 3*25 YJV	规格: 3*25; 型号: YJV		电气电料/电线电缆	电气电料	电线电缆	电线电缆	米	米	1	90.77	CNY	按YJV 3*25电缆市场均价45元/米估价;按物料族“电线电缆”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=2.0171;金额按四舍五入保留两位小数。	3*25电缆线; 电缆线; 电缆 YJV 3*25 铜芯	ELEC-000105 电缆 电缆 YJV 3*25 铜芯 3*25电缆线 电缆线 3*25 YJV		YJV	active	needs_review	clarify_specs_before_use	ELEC-000105	1	missing_required_specs:brand	2026-07-08	电气电料|电线电缆|电缆	电缆	specification,brand,model	brand	needs_input	电缆	电缆 YJV 3*25 铜芯	型号:YJV;规格:3*25	电气电料/电线电缆	电线电缆	material-entry-rules-v1.1
ELEC-000107	底盒	底盒 86型 公牛 明装	规格: 86型; 品牌: 公牛; 安装方式: 明装		电气电料/开关插座	电气电料	开关插座	开关插座	个	个	1	3.54	CNY	按个估价,品牌公牛;按物料族“开关插座”抽样复核中位数调整;样本数=4;可靠性=medium;调整系数=1.1800;金额按四舍五入保留两位小数。	明装底盒; 公牛明装开关底盒底座; 开关底盒; 底盒 86型 明装	ELEC-000107 底盒 底盒 86型 明装 明装底盒 公牛明装开关底盒底座 开关底盒 86型 公牛 明装	公牛		active	standard	auto_select_allowed	ELEC-000107	1		2026-07-08	电气电料|开关插座|底盒	底盒	specification,brand,安装方式		ready	底盒	底盒 86型 明装	安装方式:明装;规格:86型	电气电料/开关插座	开关插座	material-entry-rules-v1.1
ELEC-000108	RJ45水晶头	RJ45水晶头 Cat5e 非屏蔽	cat等级: Cat5e; 屏蔽类型: 非屏蔽		弱电安防/网络通信	弱电安防	网络通信	网络通信	个	个	1	0.35	CNY	按个估价;按物料族“网络通信”抽样复核中位数调整;样本数=1;可靠性=low;调整系数=0.7000;金额按四舍五入保留两位小数。	水晶头; RJ45水晶头 非屏蔽 Cat5e	ELEC-000108 RJ45水晶头 RJ45水晶头 非屏蔽 Cat5e 水晶头 Cat5e 非屏蔽			active	standard	auto_select_allowed	ELEC-000108	1		2026-07-08	弱电安防|网络通信|RJ45水晶头	RJ45水晶头	cat等级,屏蔽类型		ready	RJ45水晶头	RJ45水晶头 非屏蔽 Cat5e	屏蔽类型:非屏蔽;Cat等级:Cat5e	弱电安防/网络通信	网络通信	material-entry-rules-v1.1
