item_code	item_name	required_specs	optional_specs	item_group	stock_uom	purchase_uom	conversion_factor	aliases	search_keywords	brand	model	status	quality_level	agent_use_policy	source_refs	governance_note	updated_at
MAT-CEM-000005	中砂	类型：中砂		建筑材料/水泥砂石	包			中沙	MAT-CEM-000005 中砂 建筑材料/水泥砂石 包 类型：中砂 中沙			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=506；purchase_2024_source_rows=507；draft_sku_id=SKU-DRAFT-000503	缺失规格：强度等级；包装重量；品牌；整理依据：标准单位为包但每包重量缺失，含泥量未明确；导入口径：do_not_import_missing_specs	2026-07-03
TOOL-000073	垃圾桶	规格：大号		清洁办公后勤/清洁工具	个			大垃圾桶	TOOL-000073 垃圾桶 劳保耗材/清洁工具 个 规格：大号 大垃圾桶 大号			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=507；purchase_2024_source_rows=508；draft_sku_id=SKU-DRAFT-000504	缺失规格：材质；容量；整理依据：容量/材质缺失，仅“大号”无法稳定区分SKU；导入口径：do_not_import_missing_specs；重分类：劳保耗材/清洁工具 -> 清洁办公后勤/清洁工具；分类置信度：high；垃圾桶用于现场清洁收集，容量配置为规格。	2026-07-03
MAT-000050	编织袋	规格：大号		包装覆盖周转/包装袋	个			大编织袋；大号编织袋	MAT-000050 编织袋 包装材料/编织袋 个 规格：大号 大编织袋 大号编织袋 大号			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=508；purchase_2024_source_rows=509；draft_sku_id=SKU-DRAFT-000505	缺失规格：尺寸；整理依据：尺寸/承重缺失，仅“大号”无法稳定区分SKU；导入口径：do_not_import_missing_specs；重分类：包装材料/编织袋 -> 包装覆盖周转/包装袋；分类置信度：high；编织袋属于包装袋。	2026-07-03
CHEM-000040	调和漆	类型：调和漆；颜色：黑色		化工胶粘涂料/涂料	桶			黑色调和漆	CHEM-000040 调和漆 化工耗材/涂料 桶 类型：调和漆 颜色：黑色 黑色调和漆 黑色			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=509；purchase_2024_source_rows=510；draft_sku_id=SKU-DRAFT-000506	缺失规格：品牌；容量；整理依据：包装容量/品牌缺失，需确认是否影响SKU；导入口径：do_not_import_missing_specs；重分类：化工耗材/涂料 -> 化工胶粘涂料/涂料；分类置信度：high；调和漆属于涂料。	2026-07-03
ELEC-000075	LED浴室灯	功率：50W；类型：浴室灯		电气电料/照明灯具	个			50WLED浴室灯	ELEC-000075 LED浴室灯 电气材料/照明 个 功率：50W 类型：浴室灯 50WLED浴室灯 50W 浴室灯			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=510；purchase_2024_source_rows=511；draft_sku_id=SKU-DRAFT-000507	缺失规格：品牌；型号；整理依据：防水等级/色温缺失；导入口径：confirm_then_import；重分类：电气材料/照明 -> 电气电料/照明灯具；分类置信度：high；浴室灯是照明灯具，功率仅为规格。	2026-07-03
CONST-000010	彩钢瓦	规格：1*0.84		建筑材料/装饰材料	米			1*0.84彩钢瓦	CONST-000010 彩钢瓦 建筑材料/板材 米 规格：1*0.84 1*0.84彩钢瓦 1*0.84			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=511；purchase_2024_source_rows=512；draft_sku_id=SKU-DRAFT-000508	缺失规格：厚度；颜色；整理依据：厚度/颜色缺失，规格维度含义未完全明确；导入口径：do_not_import_missing_specs；重分类：建筑材料/板材 -> 建筑材料/装饰材料；分类置信度：high；彩钢瓦为建筑屋面围护板材。	2026-07-03
CONST-000011	彩钢瓦	规格：1.6*0.84		建筑材料/装饰材料	米			1.6*0.84彩钢瓦	CONST-000011 彩钢瓦 建筑材料/板材 米 规格：1.6*0.84 1.6*0.84彩钢瓦 1.6*0.84			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=512；purchase_2024_source_rows=513；draft_sku_id=SKU-DRAFT-000509	缺失规格：厚度；颜色；整理依据：厚度/颜色缺失，规格维度含义未完全明确；导入口径：do_not_import_missing_specs；重分类：建筑材料/板材 -> 建筑材料/装饰材料；分类置信度：high；彩钢瓦为建筑屋面围护板材。	2026-07-03
MAT-000051	止水针头	长度：10cm		建筑材料/防水材料	个			止水针头10CM	MAT-000051 止水针头 工程材料/堵漏注浆材料 个 长度：10cm 止水针头10CM 10cm			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=513；purchase_2024_source_rows=514；draft_sku_id=SKU-DRAFT-000510	缺失规格：材质；直径；整理依据：直径/材质缺失；导入口径：do_not_import_missing_specs；重分类：工程材料/堵漏注浆材料 -> 建筑材料/防水材料；分类置信度：high；止水针头是堵漏注浆用防水耗材。	2026-07-03
MAT-000052	止水针头	长度：15cm		建筑材料/防水材料	个			止水针头15CM	MAT-000052 止水针头 工程材料/堵漏注浆材料 个 长度：15cm 止水针头15CM 15cm			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=514；purchase_2024_source_rows=515；draft_sku_id=SKU-DRAFT-000511	缺失规格：材质；直径；整理依据：直径/材质缺失；导入口径：do_not_import_missing_specs；重分类：工程材料/堵漏注浆材料 -> 建筑材料/防水材料；分类置信度：high；止水针头是堵漏注浆用防水耗材。	2026-07-03
CHEM-000041	聚氨酯堵漏剂	材质：聚氨酯；类型：油性		化工胶粘涂料/密封材料	KG			油性聚氨酯堵漏剂	CHEM-000041 聚氨酯堵漏剂 化工耗材/堵漏材料 KG 材质：聚氨酯 类型：油性 油性聚氨酯堵漏剂 聚氨酯 油性			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=515；purchase_2024_source_rows=516；draft_sku_id=SKU-DRAFT-000512	缺失规格：品牌；整理依据：品牌/包装缺失，需确认是否影响SKU；导入口径：confirm_then_import；重分类：化工耗材/堵漏材料 -> 化工胶粘涂料/密封材料；分类置信度：high；聚氨酯堵漏剂用于防水堵漏密封，化工耗材旧口径不保留。	2026-07-03
CHEM-000042	聚氨酯堵漏剂	材质：聚氨酯；类型：水性		化工胶粘涂料/密封材料	KG			水性聚氨酯堵漏剂	CHEM-000042 聚氨酯堵漏剂 化工耗材/堵漏材料 KG 材质：聚氨酯 类型：水性 水性聚氨酯堵漏剂 聚氨酯 水性			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=516；purchase_2024_source_rows=517；draft_sku_id=SKU-DRAFT-000513	缺失规格：品牌；整理依据：品牌/包装缺失，需确认是否影响SKU；导入口径：confirm_then_import；重分类：化工耗材/堵漏材料 -> 化工胶粘涂料/密封材料；分类置信度：high；聚氨酯堵漏剂用于防水堵漏密封，化工耗材旧口径不保留。	2026-07-03
SPARE-000057	长螺杆	规格：14*200；类型：长螺杆		紧固件与连接件/螺杆	套			14*200长螺杆	SPARE-000057 长螺杆 五金备件/紧固件 套 规格：14*200 类型：长螺杆 14*200长螺杆 14*200			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=517；purchase_2024_source_rows=518；draft_sku_id=SKU-DRAFT-000514	缺失规格：材质；整理依据：原规格未明确是否为M14，材质缺失；导入口径：confirm_then_import；重分类：五金备件/紧固件 -> 紧固件与连接件/螺杆；分类置信度：high；长螺杆为螺杆类紧固件，旧五金备件过泛。	2026-07-03
TOOL-000074	防火涂层测厚仪	用途：防火涂层测厚		工具量具/检测仪器	台			防火涂层测厚仪	TOOL-000074 防火涂层测厚仪 工具器具/检测仪器 台 用途：防火涂层测厚 防火涂层测厚			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=518；purchase_2024_source_rows=519；draft_sku_id=SKU-DRAFT-000515	缺失规格：品牌；型号；量程；精度；整理依据：量程/精度/品牌缺失，无法稳定区分型号；导入口径：do_not_import_missing_specs；重分类：工具器具/检测仪器 -> 工具量具/检测仪器；分类置信度：high；测厚仪为检测仪器。	2026-07-03
ELEC-000076	网线防水对接头	特征：防水；用途：网络对接		弱电安防/网络材料	个			防水网络对接头；防水网线对接头	ELEC-000076 网线防水对接头 电气材料/弱电材料 个 特征：防水 用途：网络对接 防水网络对接头 防水网线对接头 防水 网络对接			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=519；purchase_2024_source_rows=520；draft_sku_id=SKU-DRAFT-000516	缺失规格：规格；整理依据：接口规格/IP等级缺失；导入口径：do_not_import_missing_specs；重分类：电气材料/弱电材料 -> 弱电安防/网络材料；分类置信度：high；防水网线对接头属于弱电网络材料，旧电气材料偏宽。	2026-07-03
METAL-000037	钢丝绳夹头	规格：M10		吊装索具/钢丝绳	个			M10钢丝绳夹头	METAL-000037 钢丝绳夹头 吊装索具/钢丝绳配件 个 规格：M10 M10钢丝绳夹头 M10			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=520；purchase_2024_source_rows=521；draft_sku_id=SKU-DRAFT-000517	缺失规格：材质；直径；整理依据：适配钢丝绳直径/材质缺失；导入口径：confirm_then_import；重分类：吊装索具/钢丝绳配件 -> 吊装索具/钢丝绳；分类置信度：high；夹头是钢丝绳端部固定配件。	2026-07-03
MAT-000053	编织袋	规格：小号		包装覆盖周转/包装袋	个			小编织袋	MAT-000053 编织袋 包装材料/编织袋 个 规格：小号 小编织袋 小号			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=521；purchase_2024_source_rows=522；draft_sku_id=SKU-DRAFT-000518	缺失规格：尺寸；整理依据：尺寸/承重缺失，仅“小号”无法稳定区分SKU；导入口径：do_not_import_missing_specs；重分类：包装材料/编织袋 -> 包装覆盖周转/包装袋；分类置信度：high；编织袋属于包装袋。	2026-07-03
SAFE-000031	防坠安全网	定制：是；用途：防坠		安全消防/防护网	平方			定做防坠安全网	SAFE-000031 防坠安全网 定制件/安全防护 平方 定制：是 用途：防坠 定做防坠安全网 是 防坠			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=522；purchase_2024_source_rows=523；draft_sku_id=SKU-DRAFT-000519	缺失规格：材质；执行标准；整理依据：定制件，网孔/材质/执行标准缺失；导入口径：do_not_import_missing_specs；重分类：定制件/安全防护 -> 安全消防/防护网；分类置信度：high；防坠安全网为现场安全防护网。	2026-07-03
CHEM-000043	橡胶支座	定制：是；材质：橡胶；类型：支座		定制加工件/橡胶加工件	个			定做橡胶支座	CHEM-000043 橡胶支座 定制件/橡胶件 个 定制：是 材质：橡胶 类型：支座 定做橡胶支座 是 橡胶 支座			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=523；purchase_2024_source_rows=524；draft_sku_id=SKU-DRAFT-000520	缺失规格：尺寸；整理依据：定制件，图纸/尺寸/硬度缺失；导入口径：do_not_import_missing_specs；重分类：定制件/橡胶件 -> 定制加工件/橡胶加工件；分类置信度：high；定做橡胶支座为非标橡胶加工件。	2026-07-03
SAFE-000032	电子血压计	品牌：鱼跃；类型：电子血压计		劳保防护/急救用品	台			鱼跃电子血压计	SAFE-000032 电子血压计 劳保耗材/急救用品 台 品牌：鱼跃 类型：电子血压计 鱼跃电子血压计 鱼跃	鱼跃		candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=524；purchase_2024_source_rows=525；draft_sku_id=SKU-DRAFT-000521	缺失规格：型号；整理依据：型号缺失，需按型号区分SKU；导入口径：do_not_import_missing_specs；重分类：劳保耗材/急救用品 -> 劳保防护/急救用品；分类置信度：medium；现场急救健康用品，标准表无急救二级，新增急救用品。	2026-07-03
ELEC-000077	太阳能LED灯	品牌：公牛；功率：80W；供电：太阳能		电气电料/照明灯具	套			公牛80w太阳能LED灯	ELEC-000077 太阳能LED灯 电气材料/照明 套 品牌：公牛 功率：80W 供电：太阳能 公牛80w太阳能LED灯 公牛 80W 太阳能	公牛		candidate	usable	confirm_before_use	purchase_2024_candidate_rows=525；purchase_2024_source_rows=526；draft_sku_id=SKU-DRAFT-000522	缺失规格：容量；整理依据：电池容量/防水等级缺失；导入口径：confirm_then_import；重分类：电气材料/照明 -> 电气电料/照明灯具；分类置信度：high；LED灯属照明灯具，供电方式为规格特征。	2026-07-03
SAFE-000033	安全帽一字带	适用：安全帽；类型：一字带		劳保防护/头部防护	只			安全帽一字带	SAFE-000033 安全帽一字带 劳保耗材/头部防护配件 只 适用：安全帽 类型：一字带 安全帽 一字带			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=526；purchase_2024_source_rows=527；draft_sku_id=SKU-DRAFT-000523	缺失规格：型号；整理依据：适配型号缺失；导入口径：confirm_then_import；重分类：劳保耗材/头部防护配件 -> 劳保防护/头部防护；分类置信度：high；安全帽一字带是头部防护配件。	2026-07-03
ELEC-000078	LED灯带	品牌：雷士；电压：36V；灯珠：120珠		电气电料/照明灯具	米			雷士36V120珠灯带LED	ELEC-000078 LED灯带 电气材料/照明 米 品牌：雷士 电压：36V 灯珠：120珠 雷士36V120珠灯带LED 雷士 36V 120珠	雷士		candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=527；purchase_2024_source_rows=528；draft_sku_id=SKU-DRAFT-000524	缺失规格：功率；整理依据：功率/色温/IP等级缺失；导入口径：do_not_import_missing_specs；重分类：电气材料/照明 -> 电气电料/照明灯具；分类置信度：high；LED灯带属于照明灯具；旧电气材料归并到电气电料。	2026-07-03
ELEC-000079	开关电源	输出电压：36V；功率：400W		电气电料/低压电器	个			36V 400w电源	ELEC-000079 开关电源 电气材料/电源电器 个 输出电压：36V 功率：400W 36V 400w电源 36V 400W			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=528；purchase_2024_source_rows=529；draft_sku_id=SKU-DRAFT-000525	缺失规格：电压；整理依据：输入电压/IP等级缺失；导入口径：confirm_then_import；重分类：电气材料/电源电器 -> 电气电料/低压电器；分类置信度：high；开关电源属低压电源电器。	2026-07-03
SPARE-000058	潜水泵	电压：380V；功率：2.2kW		施工机具设备/泵类设备	台			380V 2.2千w潜水泵	SPARE-000058 潜水泵 设备/泵类设备 台 电压：380V 功率：2.2kW 380V 2.2千w潜水泵 380V 2.2kW			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=529；purchase_2024_source_rows=530；draft_sku_id=SKU-DRAFT-000526	缺失规格：型号；流量；扬程；整理依据：流量/扬程缺失，无法稳定区分型号；导入口径：do_not_import_missing_specs；重分类：设备/泵类设备 -> 施工机具设备/泵类设备；分类置信度：high；潜水泵是整台泵类设备。	2026-07-03
TOOL-000075	五坑钻头	品牌：方大同；规格：35*500；柄型：五坑		工具耗材/钻头	支			方大同35*500五坑钻头	TOOL-000075 五坑钻头 工具器具/工具配件 支 品牌：方大同 规格：35*500 柄型：五坑 方大同35*500五坑钻头 方大同 35*500 五坑	方大同		candidate	usable	confirm_before_use	purchase_2024_candidate_rows=530；purchase_2024_source_rows=531；draft_sku_id=SKU-DRAFT-000527	缺失规格：材质；整理依据：材质缺失；导入口径：confirm_then_import；重分类：工具器具/工具配件 -> 工具耗材/钻头；分类置信度：high；样例均为五坑钻头，规格/品牌为差异。	2026-07-03
TOOL-000076	冲击钻头	品牌：方大同；规格：18*400		工具耗材/钻头	支			方大同18x400冲击钻头	TOOL-000076 冲击钻头 工具器具/工具配件 支 品牌：方大同 规格：18*400 方大同18x400冲击钻头 方大同 18*400	方大同		candidate	usable	confirm_before_use	purchase_2024_candidate_rows=531；purchase_2024_source_rows=532；draft_sku_id=SKU-DRAFT-000528	缺失规格：材质；整理依据：柄型/材质缺失；导入口径：confirm_then_import；重分类：工具器具/工具配件 -> 工具耗材/钻头；分类置信度：high；冲击钻头属于钻头类工具耗材。	2026-07-03
TOOL-000077	冲击钻头	品牌：方大同；规格：30*400		工具耗材/钻头	支			方大同30x400冲击钻头	TOOL-000077 冲击钻头 工具器具/工具配件 支 品牌：方大同 规格：30*400 方大同30x400冲击钻头 方大同 30*400	方大同		candidate	usable	confirm_before_use	purchase_2024_candidate_rows=532；purchase_2024_source_rows=533；draft_sku_id=SKU-DRAFT-000529	缺失规格：材质；整理依据：柄型/材质缺失；导入口径：confirm_then_import；重分类：工具器具/工具配件 -> 工具耗材/钻头；分类置信度：high；冲击钻头属于钻头类工具耗材。	2026-07-03
SPARE-000059	扎丝	直径：1mm；颜色：黑色		金属材料/金属丝网	米			1mm黑扎丝；黑扎丝	SPARE-000059 扎丝 五金备件/金属丝材 米 直径：1mm 颜色：黑色 1mm黑扎丝 黑扎丝 1mm 黑色			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=533；purchase_2024_source_rows=534；draft_sku_id=SKU-DRAFT-000530	缺失规格：材质；整理依据：材质/包装缺失；导入口径：confirm_then_import；重分类：五金备件/金属丝材 -> 金属材料/金属丝网；分类置信度：high；扎丝是金属丝材，旧建筑绑扎材料按实物归类。	2026-07-03
SPARE-000060	扎丝	直径：2mm；颜色：黑色		金属材料/金属丝网	米			2mm黑扎丝；黑扎丝	SPARE-000060 扎丝 五金备件/金属丝材 米 直径：2mm 颜色：黑色 2mm黑扎丝 黑扎丝 2mm 黑色			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=534；purchase_2024_source_rows=535；draft_sku_id=SKU-DRAFT-000531	缺失规格：材质；整理依据：材质/包装缺失；导入口径：confirm_then_import；重分类：五金备件/金属丝材 -> 金属材料/金属丝网；分类置信度：high；扎丝是金属丝材，旧建筑绑扎材料按实物归类。	2026-07-03
ELEC-000080	总开关	电流：100A；用途：总开关		电气电料/低压电器	个			100A总开关	ELEC-000080 总开关 电气材料/低压电器 个 电流：100A 用途：总开关 100A总开关 100A			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=535；purchase_2024_source_rows=536；draft_sku_id=SKU-DRAFT-000532	缺失规格：品牌；型号；整理依据：极数/品牌/型号缺失，无法稳定区分低压电器SKU；导入口径：do_not_import_missing_specs；重分类：电气材料/低压电器 -> 电气电料/低压电器；分类置信度：high；总开关属低压电器。	2026-07-03
ELEC-000081	漏电保护器	电流：40A；类型：漏电保护		电气电料/低压电器	个			40A漏电保护	ELEC-000081 漏电保护器 电气材料/低压电器 个 电流：40A 类型：漏电保护 40A漏电保护 40A 漏电保护			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=536；purchase_2024_source_rows=537；draft_sku_id=SKU-DRAFT-000533	缺失规格：品牌；型号；电压；安装方式；整理依据：极数/漏电动作电流缺失；导入口径：do_not_import_missing_specs；重分类：电气材料/低压电器 -> 电气电料/低压电器；分类置信度：high；漏电保护器属于低压电器。	2026-07-03
ELEC-000082	空气开关	电流：16A		电气电料/低压电器	个			16A空开	ELEC-000082 空气开关 电气材料/低压电器 个 电流：16A 16A空开 16A			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=537；purchase_2024_source_rows=538；draft_sku_id=SKU-DRAFT-000534	缺失规格：品牌；型号；整理依据：极数/品牌/型号缺失，无法稳定区分低压电器SKU；导入口径：do_not_import_missing_specs；重分类：电气材料/低压电器 -> 电气电料/低压电器；分类置信度：high；空气开关是低压断路器。	2026-07-03
TOOL-000078	五坑钻头	规格：28*800；柄型：五坑		工具耗材/钻头	支			28*800五孔钻头	TOOL-000078 五坑钻头 工具器具/工具配件 支 规格：28*800 柄型：五坑 28*800五孔钻头 28*800 五坑			candidate	usable	confirm_before_use	purchase_2024_candidate_rows=538；purchase_2024_source_rows=539；draft_sku_id=SKU-DRAFT-000535	缺失规格：品牌；材质；整理依据：品牌/材质缺失；导入口径：confirm_then_import；重分类：工具器具/工具配件 -> 工具耗材/钻头；分类置信度：high；样例均为五坑钻头，规格/品牌为差异。	2026-07-03
ELEC-000083	绝缘胶带	类型：绝缘胶带		电气电料/绝缘材料	卷			绝缘胶带	ELEC-000083 绝缘胶带 电气材料/电工耗材 卷 类型：绝缘胶带			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=539；purchase_2024_source_rows=540；draft_sku_id=SKU-DRAFT-000536	缺失规格：长度；宽度；颜色；整理依据：颜色/宽度/长度缺失；导入口径：do_not_import_missing_specs；重分类：电气材料/电工耗材 -> 电气电料/绝缘材料；分类置信度：high；绝缘胶带属于电气绝缘材料。	2026-07-03
TOOL-000079	电源极性检测器	用途：电源极性检测		工具量具/检测仪器	台			电源极性检测器	TOOL-000079 电源极性检测器 工具器具/检测仪器 台 用途：电源极性检测 电源极性检测			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=540；purchase_2024_source_rows=541；draft_sku_id=SKU-DRAFT-000537	缺失规格：品牌；电压；整理依据：电压范围/品牌缺失；导入口径：do_not_import_missing_specs；重分类：工具器具/检测仪器 -> 工具量具/检测仪器；分类置信度：high；用于电源极性检测，归检测仪器。	2026-07-03
MAT-000054	沉降观测钉带牌	类型：观测钉；包含：标识牌		工具量具/测量工具	套			沉降观测钉带牌	MAT-000054 沉降观测钉带牌 工程材料/测量标识 套 类型：观测钉 包含：标识牌 观测钉 标识牌			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=541；purchase_2024_source_rows=542；draft_sku_id=SKU-DRAFT-000538	缺失规格：规格；材质；整理依据：材质/规格缺失；导入口径：do_not_import_missing_specs；重分类：工程材料/测量标识 -> 工具量具/测量工具；分类置信度：medium；沉降观测钉带牌为测量观测标识，旧工程材料偏宽。	2026-07-03
MAT-000055	十字测钉	类型：十字测钉；表面：镀锌		工具量具/测量工具	个			镀锌十字测钉	MAT-000055 十字测钉 工程材料/测量标识 个 类型：十字测钉 表面：镀锌 镀锌十字测钉 镀锌			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=542；purchase_2024_source_rows=543；draft_sku_id=SKU-DRAFT-000539	缺失规格：规格；整理依据：规格缺失；导入口径：do_not_import_missing_specs；重分类：工程材料/测量标识 -> 工具量具/测量工具；分类置信度：medium；测钉用于测量放样标识，归测量工具辅件。	2026-07-03
ELEC-000084	LED充电头灯	类型：头灯；供电：充电；光源：LED		电气电料/照明灯具	个			LED充电头灯	ELEC-000084 LED充电头灯 电气材料/照明 个 类型：头灯 供电：充电 光源：LED 头灯 充电 LED			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=543；purchase_2024_source_rows=544；draft_sku_id=SKU-DRAFT-000540	缺失规格：容量；整理依据：电池容量/亮度缺失；导入口径：do_not_import_missing_specs；重分类：电气材料/照明 -> 电气电料/照明灯具；分类置信度：medium；便携头灯本质为照明灯具，供电方式是规格属性。	2026-07-03
TOOL-000080	五坑钻头	品牌：方大同；规格：14*400；柄型：五坑		工具耗材/钻头	支			方大同14*400五孔钻头	TOOL-000080 五坑钻头 工具器具/工具配件 支 品牌：方大同 规格：14*400 柄型：五坑 方大同14*400五孔钻头 方大同 14*400 五坑	方大同		candidate	usable	confirm_before_use	purchase_2024_candidate_rows=544；purchase_2024_source_rows=545；draft_sku_id=SKU-DRAFT-000541	缺失规格：材质；整理依据：材质缺失；导入口径：confirm_then_import；重分类：工具器具/工具配件 -> 工具耗材/钻头；分类置信度：high；样例均为五坑钻头，规格/品牌为差异。	2026-07-03
TOOL-000081	五坑钻头	品牌：方大同；规格：14*600；柄型：五坑		工具耗材/钻头	支			方大同14*600五孔钻头	TOOL-000081 五坑钻头 工具器具/工具配件 支 品牌：方大同 规格：14*600 柄型：五坑 方大同14*600五孔钻头 方大同 14*600 五坑	方大同		candidate	usable	confirm_before_use	purchase_2024_candidate_rows=545；purchase_2024_source_rows=546；draft_sku_id=SKU-DRAFT-000542	缺失规格：材质；整理依据：材质缺失；导入口径：confirm_then_import；重分类：工具器具/工具配件 -> 工具耗材/钻头；分类置信度：high；样例均为五坑钻头，规格/品牌为差异。	2026-07-03
TOOL-000082	五坑钻头	品牌：方大同；规格：16*280；柄型：五坑		工具耗材/钻头	支			方大同16*280五孔钻头	TOOL-000082 五坑钻头 工具器具/工具配件 支 品牌：方大同 规格：16*280 柄型：五坑 方大同16*280五孔钻头 方大同 16*280 五坑	方大同		candidate	usable	confirm_before_use	purchase_2024_candidate_rows=546；purchase_2024_source_rows=547；draft_sku_id=SKU-DRAFT-000543	缺失规格：材质；整理依据：材质缺失；导入口径：confirm_then_import；重分类：工具器具/工具配件 -> 工具耗材/钻头；分类置信度：high；样例均为五坑钻头，规格/品牌为差异。	2026-07-03
CONST-000012	彩钢瓦	厚度/规格：0.5		建筑材料/装饰材料	平方			0.5彩钢瓦	CONST-000012 彩钢瓦 建筑材料/板材 平方 厚度/规格：0.5 0.5彩钢瓦 0.5			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=547；purchase_2024_source_rows=548；draft_sku_id=SKU-DRAFT-000544	缺失规格：规格；厚度；颜色；整理依据：颜色/板型缺失，原规格未明确是否为厚度；导入口径：do_not_import_missing_specs；重分类：建筑材料/板材 -> 建筑材料/装饰材料；分类置信度：high；彩钢瓦为建筑屋面围护板材。	2026-07-03
SAFE-000034	油布	特征：加厚		包装覆盖周转/覆盖材料	平方			加厚油布	SAFE-000034 油布 建筑材料/防护覆盖 平方 特征：加厚 加厚油布 加厚			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=548；purchase_2024_source_rows=549；draft_sku_id=SKU-DRAFT-000545	缺失规格：材质；整理依据：材质/克重缺失，仅“加厚”无法稳定区分SKU；导入口径：do_not_import_missing_specs；重分类：建筑材料/防护覆盖 -> 包装覆盖周转/覆盖材料；分类置信度：high；油布用于覆盖防护，旧劳保耗材不应作为分类。	2026-07-03
SAFE-000035	灭火器	容量：4KG		安全消防/消防器材	支			4KG灭火器	SAFE-000035 灭火器 消防器材/灭火器 支 容量：4KG 4KG灭火器 4KG			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=549；purchase_2024_source_rows=550；draft_sku_id=SKU-DRAFT-000546	缺失规格：类型；材质；规格；安全等级；认证标准；整理依据：灭火剂类型缺失，需确认干粉/二氧化碳等；导入口径：do_not_import_missing_specs；重分类：消防器材/灭火器 -> 安全消防/消防器材；分类置信度：high；灭火器属于消防器材。	2026-07-03
SAFE-000036	消防箱	类型：消防箱		安全消防/消防器材	个			消防箱子	SAFE-000036 消防箱 消防器材/消防箱 个 类型：消防箱 消防箱子			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=550；purchase_2024_source_rows=551；draft_sku_id=SKU-DRAFT-000547	缺失规格：材质；尺寸；整理依据：尺寸/材质缺失；导入口径：do_not_import_missing_specs；重分类：消防器材/消防箱 -> 安全消防/消防器材；分类置信度：high；消防箱属于消防器材。	2026-07-03
TOOL-000083	马路切割片	规格：400；用途：马路切割		工具耗材/切割片	块			400马路切片	TOOL-000083 马路切割片 工具器具/磨切耗材 块 规格：400 用途：马路切割 400马路切片 400 马路切割			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=552；purchase_2024_source_rows=553；draft_sku_id=SKU-DRAFT-000548	缺失规格：厚度；整理依据：厚度/孔径缺失，400不足以唯一确定切割片SKU；导入口径：do_not_import_missing_specs；重分类：工具器具/磨切耗材 -> 工具耗材/切割片；分类置信度：high；马路切割片为切割工具耗材。	2026-07-03
TOOL-000084	塞尺	材质：铜		工具量具/测量工具	个			铜塞尺	TOOL-000084 塞尺 工具器具/测量工具 个 材质：铜 铜塞尺 铜			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=553；purchase_2024_source_rows=554；draft_sku_id=SKU-DRAFT-000549	缺失规格：规格；整理依据：规格范围缺失，铜材质不足以唯一确定塞尺SKU；导入口径：do_not_import_missing_specs；重分类：工具器具/测量工具 -> 工具量具/测量工具；分类置信度：high；塞尺为测量工具。	2026-07-03
