item_code	current_item_name	current_family	recommended_family	action	confidence	review_reason	missing_or_ambiguous_fields	owner_question	source_required_specs
SPARE-000071	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：12*40
SPARE-000075	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：M20*130
SPARE-000076	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：M20*35
SPARE-000077	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级、套/包装口径	材质；头型/驱动；强度等级；套/包装口径	请确认单位“套”是包装单位还是包含螺母/垫片的成套 SKU，并补齐材质、强度等级、头型/驱动。	规格：M20*40
SPARE-000079	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：22*100
SPARE-000082	螺丝	螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：材质、头型/驱动、强度等级	材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	规格：16*160
PIPE-000261	管片螺丝	管片螺丝	螺丝	keep_screw	medium	普通螺丝/螺栓统一保留在螺丝族，头型、强度、材质等进入规格。；缺失/不明确字段：规格、材质、头型/驱动、强度等级	规格；材质；头型/驱动；强度等级	请补齐材质、强度等级、头型/驱动、表面处理等会影响采购替代的字段。	定制：是；用途：管片
ELEC-000181	航空插头插座套装	航空插头插座套装	航空插头插座套装	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	安装方式：明装；芯数：3芯；额定电流：16A
ELEC-000203	继电器套装	继电器套装	继电器套装	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	品牌：施耐德；电压：220V；电流：5A；配置：带底座
ELEC-000235	接地桩套件	接地桩套件	接地桩套件	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	表面处理：镀锌；规格：18*1m；配置：带螺丝
FAST-000078	橡胶垫片	垫圈/垫片	垫圈/垫片	needs_manual_review	medium	垫片跨标准垫圈、密封垫、法兰垫和定制件，需要按用途人工确认。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	材质：橡胶；规格：200
FAST-000083	四氟垫片	四氟垫片	四氟垫片	needs_manual_review	medium	垫片跨标准垫圈、密封垫、法兰垫和定制件，需要按用途人工确认。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	定制：是；材质：四氟；规格：Φ450*440*2
FAST-000086	膨胀止水条	膨胀止水条	膨胀止水条	needs_manual_review	medium	包含膨胀但为止水条，必须作为膨胀锚栓规则排除。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	类型：膨胀止水条；规格：5mm*30mm
FAST-000092	异形垫片	异形垫片	异形垫片	needs_manual_review	medium	垫片跨标准垫圈、密封垫、法兰垫和定制件，需要按用途人工确认。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	定制：是；尺寸：330*260*5
FAST-000101	橡胶垫片	垫圈/垫片	垫圈/垫片	needs_manual_review	medium	垫片跨标准垫圈、密封垫、法兰垫和定制件，需要按用途人工确认。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	材质：橡胶；规格：50
MAT-000005	水龙头花洒套装	水龙头花洒套装	水龙头花洒套装	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	组合：水龙头+花洒
MAT-000161	桶装水抽水器套装	桶装水抽水器套装	桶装水抽水器套装	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	品牌：子路；包含：抽水器+充电器
MAT-000163	太阳能4G监控套装	监控套装	监控套装	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	供电：太阳能；通信：4G；套装：三件套
METAL-000140	不锈钢C式自锁接头套装	气动接头	气动接头	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	材质：不锈钢；类型：C式自锁；型号组合：SM40+PM40
PIPE-000131	法兰垫片	法兰	法兰	needs_manual_review	medium	垫片跨标准垫圈、密封垫、法兰垫和定制件，需要按用途人工确认。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	规格：DN325；材质：胶
PIPE-000184	铜头铝套组件	液压接头	液压接头	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	规格：80；组成：铜头、铝扣；特征：加厚
PIPE-000218	铜头铝合金夹	液压接头	液压接头	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	规格：50；组成：铜头、铝扣
PIPE-000227	PE管卡箍组件	定制管路接头	定制管路接头	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	定制：是；长度：1.5m；材质：PE；带卡箍：是
PIPE-000230	自锁气管接头螺母	气动接头	气动接头	needs_manual_review	medium	螺母是气动接头部件，不应自动转普通螺母。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	类型：自锁；部件：螺母
PIPE-000370	注浆管套装	管材	管材	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	长度：5米；套装：含配件
SAFE-000058	雨衣套装	雨衣套装	雨衣套装	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	套装：是；特征：加厚
SAFE-000134	消防枪头管接头套件	消防接头	消防接头	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	材质：铝合金；规格：80型；包含：消防枪头+管接头
SAFE-000135	消防枪头管接头套件	消防接头	消防接头	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	材质：铝合金；规格：65型；包含：消防枪头+管接头
SPARE-000011	垫片	垫圈/垫片	垫圈/垫片	needs_manual_review	medium	垫片跨标准垫圈、密封垫、法兰垫和定制件，需要按用途人工确认。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	规格：110*100*5；加工：是
SPARE-000098	四氟垫片	四氟垫片	四氟垫片	needs_manual_review	medium	垫片跨标准垫圈、密封垫、法兰垫和定制件，需要按用途人工确认。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	规格：55；材质：四氟/PTFE
SPARE-000110	螺杆泵电机套装	螺杆泵电机套装	螺杆泵电机套装	needs_manual_review	medium	螺杆泵是设备/备件语义，不应按螺杆或螺丝自动归类。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	功率：2.2kW；材质：不锈钢；组成：螺杆泵+电机
SPARE-000111	螺杆泵水封	螺杆泵水封	螺杆泵水封	needs_manual_review	medium	螺杆泵是设备/备件语义，不应按螺杆或螺丝自动归类。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	品牌：耐驰；原装：是；适用设备：螺杆泵
SPARE-000117	振动电机套装	振动电机套装	振动电机套装	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	进口：是；类型：振动电机；配置：整套
SPARE-000120	O型圈套装	O型圈套装	O型圈套装	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	品牌：派克；套装：ABC
TOOL-000131	内六角扳手套装	扳手	扳手	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	品牌：世达；类型：六角扳手套装
TOOL-000155	液压扳手套装	扳手	扳手	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	品牌：恩耐克；类型：液压扳手套装
TOOL-000187	内六角扳手套装	扳手	扳手	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	品牌：世达；规格范围：1.5-10
TOOL-000188	开口梅花扳手套装	扳手	扳手	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	品牌：世达；规格范围：8-24
TOOL-000254	锂电角磨机套装	角磨机	角磨机	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	品牌：东成；供电：锂电；配置：二电一充
TOOL-000266	十字批头套装	批头	批头	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	品牌：世达；类型：十字批头；配置：套装
TOOL-000272	碳弧气刨枪套装	碳弧气刨枪套装	碳弧气刨枪套装	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	类型：碳弧气刨枪；线长：2米
TOOL-000292	锂电手电钻套装	电钻	电钻	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	品牌：东成；供电：锂电；配置：二电一充
TOOL-000313	T型套筒扳手套装	扳手	扳手	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	类型：T型套筒；规格范围：8-19；件数：6件
TOOL-000318	冲凿套装	冲凿套装	冲凿套装	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	品牌：上匠；件数：12件
TOOL-000340	劳动车轮胎套件	劳动车轮胎套件	劳动车轮胎套件	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	适配对象：劳动车；套件组成：车轮+实心车胎
WELD-000026	电焊机套装	电焊机套装	电焊机套装	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	配置：含焊线
WELD-000047	焊枪线缆套装	焊枪线缆套装	焊枪线缆套装	needs_manual_review	medium	非螺丝套件/组件只作为边界排除样本，不能按螺丝套件处理。		请确认该物料的实物本体和目标物料族，避免被螺丝关键字误归类。	型号：500型；线长：5米；包含：焊枪
