item_code	source_item_codes	merged_count	item_name	sku_name	required_specs	item_group	top_group	sub_group	material_family	unit	estimated_rate	currency	price_basis	default_fill_basis	aliases	brand	model	original_item_name	original_sku_name	original_required_specs	original_unit	updated_at
FAST-000090	FAST-000090	1	高强度螺丝套件	高强度螺丝套件 M16*70 8.8级镀锌 带平弹垫	强度等级：8.8；规格：M16*70；材质：合金钢；表面处理：镀锌；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	3.84	CNY	按8.8级M16*70合金钢镀锌螺丝带平弹垫单套市场价估价，单位=套；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	无需补齐	8.8级M16*70镀锌螺丝带平 弹垫；螺丝套件			高强度螺丝套件	高强度螺丝套件 M16*70 8.8级 镀锌	强度等级：8.8；规格：M16*70；材质：合金钢；表面处理：镀锌；套件组成：平垫+弹垫	套	2026-07-08
FAST-000091	FAST-000091	1	高强度螺丝套件	高强度螺丝套件 M16*130 8.8级发黑 带平弹垫	强度等级：8.8；规格：M16*130；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	4.20	CNY	按8.8级M16*130合金钢发黑螺丝带平弹垫单套市场价估价，单位=套；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	无需补齐	8.8级M16*130螺丝带平 弹垫；螺丝套件			高强度螺丝套件	高强度螺丝套件 M16*130 8.8级 发黑	强度等级：8.8；规格：M16*130；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	套	2026-07-08
FAST-000092	FAST-000092	1	异形垫片	异形垫片 330*260*5mm	尺寸：330*260*5mm；材质：橡胶（推断）	定制加工件/定制橡胶件（候选）	定制加工件	定制橡胶件（候选）	定制橡胶件（候选）	个	12.00	CNY	按每个定制橡胶垫片估价；按物料族“定制橡胶件（候选）”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.5000；金额按四舍五入保留两位小数。	补齐材质为橡胶，常见定制橡胶垫	订做异性垫片330*260*5; 异形垫片			异形垫片	异形垫片 330*260*5	尺寸：330*260*5	个	2026-07-08
FAST-000093	FAST-000093	1	高强度螺丝套件	高强度螺丝套件 M16*60 8.8级发黑 带平弹垫	强度等级：8.8；规格：M16*60；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	3.36	CNY	按8.8级M16*60合金钢发黑螺丝带平弹垫单套市场价估价，单位=套；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	无需补齐	8.8级M16*60螺丝带平 弹垫；螺丝套件			高强度螺丝套件	高强度螺丝套件 M16*60 8.8级 发黑	强度等级：8.8；规格：M16*60；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	套	2026-07-08
FAST-000094	FAST-000094	1	高强度螺丝套件	高强度螺丝套件 M20*60 8.8级发黑 带平弹垫	强度等级：8.8；规格：M20*60；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	4.20	CNY	按8.8级M20*60合金钢发黑螺丝带平弹垫单套市场价估价，单位=套；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	无需补齐	8.8级M20*60螺丝带平 弹垫；螺丝套件			高强度螺丝套件	高强度螺丝套件 M20*60 8.8级 发黑	强度等级：8.8；规格：M20*60；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	套	2026-07-08
FAST-000095	FAST-000095	1	内六角螺丝套件	内六角螺丝套件 M5*30	材质：不锈钢；规格/口径：M5*30；强度等级：12.9；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	0.96	CNY	按套市场估价；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	补充了套件组成：平垫+弹垫；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	不锈钢内六角螺丝M5*30带平弹垫；内六角螺丝套件；螺丝套件			内六角螺丝套件	内六角螺丝套件 M5*30	材质：不锈钢；规格/口径：M5*30；强度等级：12.9；表面处理：发黑；套件组成：平垫+弹垫	套	2026-07-08
FAST-000096	FAST-000096	1	内六角螺丝套件	内六角螺丝套件 M5*10	材质：不锈钢；规格/口径：M5*10；强度等级：12.9；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	0.72	CNY	按套市场估价；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	补充了套件组成：平垫+弹垫；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	不锈钢内六角螺丝M5*10带平弹垫；内六角螺丝套件；螺丝套件			内六角螺丝套件	内六角螺丝套件 M5*10	材质：不锈钢；规格/口径：M5*10；强度等级：12.9；表面处理：发黑；套件组成：平垫+弹垫	套	2026-07-08
FAST-000097	FAST-000097	1	内六角螺丝套件	内六角螺丝套件 M5*16	材质：不锈钢；规格/口径：M5*16；强度等级：12.9；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	0.84	CNY	按套市场估价；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	补充了套件组成：平垫+弹垫；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	不锈钢内六角螺丝M5*16带平弹垫；内六角螺丝套件；螺丝套件			内六角螺丝套件	内六角螺丝套件 M5*16	材质：不锈钢；规格/口径：M5*16；强度等级：12.9；表面处理：发黑；套件组成：平垫+弹垫	套	2026-07-08
FAST-000098	FAST-000098	1	不锈钢螺丝套件	不锈钢螺丝套件 M6*20	材质：不锈钢；规格：M6*20；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	0.96	CNY	按套市场估价；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	补充了套件组成：平垫+弹垫；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	不锈钢M6*20螺丝带平弹垫；不锈钢螺丝套件；螺丝套件			不锈钢螺丝套件	不锈钢螺丝套件 M6*20	材质：不锈钢；规格：M6*20；套件组成：平垫+弹垫	套	2026-07-08
FAST-000099	FAST-000099	1	全螺纹丝杆	全螺纹丝杆 M12×1000 10.9级发黑	直径：M12；长度：1000mm；强度等级：10.9；材质：碳钢；表面处理：发黑	紧固件与连接件/螺杆/丝杆	紧固件与连接件	螺杆/丝杆	螺杆/丝杆	根	27.50	CNY	按M12*1000mm10.9级碳钢发黑全螺纹丝杆每根市场价估价，单位=根；按物料族“螺杆/丝杆”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.8333；金额按四舍五入保留两位小数。	补齐材质和表面处理为常见规格	10.9级M12*1m全牙丝杆；全螺纹丝杆			全螺纹丝杆	全螺纹丝杆 M12×1000 10.9级	直径：M12；长度：1000mm；强度等级：10.9；材质：碳钢（推定）；表面处理：发黑（推定）	根	2026-07-08
FAST-000100	FAST-000100	1	高强度螺丝套件	高强度螺丝套件 M20*200 8.8级发黑 带平弹垫	强度等级：8.8；规格：M20*200；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	6.00	CNY	按8.8级M20*200合金钢发黑螺丝带平弹垫单套市场价估价，单位=套；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	无需补齐	8.8级M20*200螺丝带平 弹垫；螺丝套件			高强度螺丝套件	高强度螺丝套件 M20*200 8.8级 发黑	强度等级：8.8；规格：M20*200；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	套	2026-07-08
FAST-000101	FAST-000101	1	垫片	垫片 橡胶 50	材质：橡胶；规格/口径：50mm	紧固件与连接件/垫圈/垫片	紧固件与连接件	垫圈/垫片	垫圈/垫片	个	2.33	CNY	按单个估价，DN50橡胶垫片市场价约0.8元/个；按物料族“垫圈/垫片”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=2.9166；金额按四舍五入保留两位小数。	口径补齐单位mm；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	橡胶垫片50；橡胶垫片			垫片	垫片 橡胶 50	材质：橡胶；规格/口径：50	个	2026-07-08
FAST-000103	FAST-000103	1	自攻螺丝	自攻螺丝 M4*16	直径：M4；长度：16mm；材质：碳钢；表面处理：镀锌；驱动类型：十字	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	只	0.14	CNY	按只市场估价；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	自攻螺丝M4；自攻螺丝；螺丝			自攻螺丝	自攻螺丝 M4*16	直径：M4；长度：16mm；材质：碳钢；表面处理：镀锌；驱动类型：十字	只	2026-07-08
FAST-000104	FAST-000104	1	钻尾螺丝	钻尾螺丝 M5.5*80 碳钢镀锌	规格：M5.5*80；材质：碳钢；表面处理：镀锌	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	盒	24.00	CNY	按碳钢镀锌钻尾螺丝M5.5*80每盒（约100颗）市场价估价，单位=盒；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	补齐材质和表面处理为常见规格	钻尾螺丝M5.5*80大盒			钻尾螺丝	钻尾螺丝 M5.5*80	规格：M5.5*80；材质：碳钢；表面处理：镀锌	盒	2026-07-08
FAST-000105	FAST-000105	1	内六角螺丝套件	内六角螺丝套件 M10*50	材质：碳钢；规格/口径：M10*50；强度等级：8.8；表面处理：发黑；套件组成：螺母	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	2.40	CNY	按套市场估价；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	补充了套件组成：螺母；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	8.8级内六角螺丝M10*50带螺母；内六角螺丝套件；螺丝套件			内六角螺丝套件	内六角螺丝套件 M10*50	材质：碳钢；规格/口径：M10*50；强度等级：8.8；表面处理：发黑；套件组成：螺母	套	2026-07-08
FAST-000106	FAST-000106	1	自攻螺丝	自攻螺丝 M5*60	直径：M5；长度：60mm；材质：碳钢；表面处理：镀锌；驱动类型：十字	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	只	0.36	CNY	按只市场估价；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	自攻螺丝60mm；自攻螺丝；螺丝			自攻螺丝	自攻螺丝 M5*60	直径：M5；长度：60mm；材质：碳钢；表面处理：镀锌；驱动类型：十字	只	2026-07-08
FAST-000107	FAST-000107	1	钻尾螺丝	钻尾螺丝 60mm 碳钢镀锌	长度：60mm；材质：碳钢；表面处理：镀锌	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	盒	18.00	CNY	按碳钢镀锌钻尾螺丝60mm每盒（约200颗）市场价估价，单位=盒；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	补齐材质和表面处理为常见规格	钻尾螺丝60mm			钻尾螺丝	钻尾螺丝 60mm	长度：60mm；材质：碳钢；表面处理：镀锌	盒	2026-07-08
FAST-000108	FAST-000108	1	高强度全牙螺栓	高强度全牙螺栓 12.9 M27*100	强度等级：12.9；规格：M27*100；螺纹形式：全牙；材质：合金钢；表面处理：发黑	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	14.40	CNY	按12.9级M27*100合金钢发黑全牙螺栓单套市场价估价，单位=套；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	无需补齐	12.9级M27*100全芽螺丝；高强度全牙螺丝；螺丝			高强度全牙螺栓	高强度全牙螺栓 12.9 M27*100	强度等级：12.9；规格：M27*100；螺纹形式：全牙；材质：合金钢；表面处理：发黑	套	2026-07-08
FAST-000110	FAST-000110	1	膨胀锚栓	膨胀锚栓 M10*110	规格/口径：M10；长度：110mm；表面处理：镀锌	紧固件与连接件/膨胀锚栓	紧固件与连接件	膨胀锚栓	膨胀锚栓	个	1.53	CNY	按单个价，单价对应单位=个；按物料族“膨胀锚栓”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=1.7000；金额按四舍五入保留两位小数。	表面处理按常见镀锌补齐	膨胀螺丝Φ10*110；膨胀螺丝；膨胀锚栓			膨胀锚栓	膨胀锚栓 M10*110	规格/口径：M10；长度：110mm	个	2026-07-08
FAST-000112	FAST-000112	1	膨胀锚栓	膨胀锚栓 M8*70	规格/口径：M8；长度：70mm；表面处理：镀锌	紧固件与连接件/膨胀锚栓	紧固件与连接件	膨胀锚栓	膨胀锚栓	个	0.77	CNY	按单个价，单价对应单位=个；按物料族“膨胀锚栓”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=1.7000；金额按四舍五入保留两位小数。	表面处理按常见镀锌补齐	膨胀螺丝Φ8*70；膨胀螺丝；膨胀锚栓			膨胀锚栓	膨胀锚栓 M8*70	规格/口径：M8；长度：70mm	个	2026-07-08
FAST-000113	FAST-000113	1	膨胀锚栓	膨胀锚栓 M8*90	规格/口径：M8；长度：90mm；表面处理：镀锌	紧固件与连接件/膨胀锚栓	紧固件与连接件	膨胀锚栓	膨胀锚栓	个	0.85	CNY	按单个价，单价对应单位=个；按物料族“膨胀锚栓”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=1.7000；金额按四舍五入保留两位小数。	表面处理按常见镀锌补齐	膨胀螺丝Φ8*90；膨胀螺丝；膨胀锚栓			膨胀锚栓	膨胀锚栓 M8*90	规格/口径：M8；长度：90mm	个	2026-07-08
FAST-000114	FAST-000114	1	膨胀锚栓	膨胀锚栓 M12*110	规格/口径：M12；长度：110mm；表面处理：镀锌	紧固件与连接件/膨胀锚栓	紧固件与连接件	膨胀锚栓	膨胀锚栓	个	1.87	CNY	按单个价，单价对应单位=个；按物料族“膨胀锚栓”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=1.7000；金额按四舍五入保留两位小数。	表面处理按常见镀锌补齐	膨胀螺丝Φ12*110；膨胀螺丝；膨胀锚栓			膨胀锚栓	膨胀锚栓 M12*110	规格/口径：M12；长度：110mm	个	2026-07-08
FAST-000115	FAST-000115	1	十字螺丝	十字螺丝 M5×60	规格：M5×60；材质：碳钢；表面处理：镀锌；接口：外丝	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	0.36	CNY	按单个市场估价；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	补充了材质和表面处理；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	十字螺丝Φ5*60；十字螺丝；螺丝			十字螺丝	十字螺丝 M5×60	规格：M5×60；材质：碳钢；表面处理：镀锌；接口：外丝	个	2026-07-08
FAST-000116	FAST-000116	1	高强度螺丝套件	高强度螺丝套件 M16*50 8.8级发黑 带平弹垫	强度等级：8.8；规格：M16*50；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	3.00	CNY	按8.8级M16*50合金钢发黑螺丝带平弹垫单套市场价估价，单位=套；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	无需补齐	8.8级M16*50螺丝带平弹垫；螺丝套件			高强度螺丝套件	高强度螺丝套件 M16*50 8.8级 发黑	强度等级：8.8；规格：M16*50；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	套	2026-07-08
FAST-000117	FAST-000117	1	高强度螺丝套件	高强度螺丝套件 M16*120 8.8级发黑 带平弹垫	强度等级：8.8；规格：M16*120；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	3.60	CNY	按8.8级M16*120合金钢发黑螺丝带平弹垫单套市场价估价，单位=套；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	无需补齐	8.8级M16*120螺丝带平弹垫；螺丝套件			高强度螺丝套件	高强度螺丝套件 M16*120 8.8级 发黑	强度等级：8.8；规格：M16*120；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	套	2026-07-08
FAST-000118	FAST-000118	1	螺杆	螺杆 M10*30 8.8级	规格：M10*30；强度等级：8.8；材质：碳钢；表面处理：发黑	紧固件与连接件/螺杆/丝杆	紧固件与连接件	螺杆/丝杆	螺杆/丝杆	个	0.55	CNY	按8.8级M10*30碳钢螺杆单个市场价估价，单位=个；按物料族“螺杆/丝杆”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.8333；金额按四舍五入保留两位小数。	补齐材质和表面处理为常见推定；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	8.8级M10*30螺丝杆；螺丝杆；螺杆			螺杆	螺杆 M10*30 8.8级	规格：M10*30；强度等级：8.8	个	2026-07-08
FAST-000119	FAST-000119	1	高强度全牙螺栓	高强度全牙螺栓 12.9 M24*60 带平弹垫	强度等级：12.9；规格：M24*60；螺纹形式：全牙；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	9.60	CNY	按12.9级M24*60合金钢发黑全牙螺栓带平弹垫单套市场价估价，单位=套；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	无需补齐	12.9级M24*60全芽螺丝带平弹垫；高强度全螺纹螺丝套件；螺丝套件			高强度全牙螺栓	高强度全牙螺栓 12.9 M24*60	强度等级：12.9；规格：M24*60；螺纹形式：全牙；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	套	2026-07-08
FAST-000120	FAST-000120	1	膨胀钩	膨胀钩 M16*130	规格/口径：M16；长度：130mm；表面处理：镀锌	紧固件与连接件/膨胀锚栓	紧固件与连接件	膨胀锚栓	膨胀锚栓	个	2.55	CNY	按单个价，单价对应单位=个；按物料族“膨胀锚栓”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=1.7000；金额按四舍五入保留两位小数。	无需补齐	镀锌膨胀钩M16*130;镀锌膨胀钩;膨胀锚栓			膨胀钩	膨胀钩 M16*130	规格/口径：M16；长度：130mm；表面处理：镀锌	个	2026-07-08
FAST-000121	FAST-000121	1	花篮螺丝	花篮螺丝 M14*350 镀锌	螺纹规格：M14；长度：350mm；材质：碳钢；表面处理：镀锌	吊装索具/花篮螺丝/紧线器（候选）	吊装索具	花篮螺丝/紧线器（候选）	花篮螺丝/紧线器（候选）	只	21.60	CNY	按只估价；按物料族“花篮螺丝/紧线器（候选）”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=2.4000；金额按四舍五入保留两位小数。	材质补齐为碳钢	镀锌花兰螺丝m14*350；镀锌花兰螺丝；花篮螺丝			花篮螺丝	花篮螺丝 M14*350 镀锌	规格/口径：M14；长度：350mm；表面处理：镀锌	只	2026-07-08
FAST-000122	FAST-000122	1	圆头螺丝套件	圆头螺丝套件 M5*70	规格：M5*70；材质：碳钢；表面处理：镀锌；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	0.96	CNY	按套市场估价；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	补充了套件组成：平垫+弹垫；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	圆头螺丝m5*70带平 弹垫；圆头螺丝套件；螺丝套件			圆头螺丝套件	圆头螺丝套件 M5*70	规格：M5*70；材质：碳钢；表面处理：镀锌；套件组成：平垫+弹垫	套	2026-07-08
FAST-000123	FAST-000123	1	高强度螺丝套件	高强度螺丝套件 M16*70 8.8级发黑 带平弹垫	强度等级：8.8；规格：M16*70；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件/螺丝/螺栓	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	3.60	CNY	按8.8级M16*70合金钢发黑螺丝带平弹垫单套市场价估价，单位=套；按物料族“螺丝/螺栓”抽样复核中位数调整；样本数=11；可靠性=medium；调整系数=1.2000；金额按四舍五入保留两位小数。	无需补齐	8.8级m16*70螺丝带平 弹垫；高强度螺丝套件；螺丝套件			高强度螺丝套件	高强度螺丝套件 M16*70 8.8级 发黑	强度等级：8.8；规格：M16*70；材质：合金钢；表面处理：发黑；套件组成：平垫+弹垫	套	2026-07-08
HW-LOCK-000001	HW-LOCK-000001	1	门锁	门锁 办公室门	适用场景：办公室门	清洁办公后勤/门窗五金	清洁办公后勤	门窗五金	门窗五金	个	67.50	CNY	按常见工程采购价估算，单价对应单位=个；按物料族“门窗五金”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=2.2500；金额按四舍五入保留两位小数。	材质补齐为不锈钢	办公室门锁；门锁			门锁	门锁 办公室门	适用场景：办公室门	个	2026-07-08
HW-LOCK-000002	HW-LOCK-000002	1	挂锁	挂锁 50mm 不锈钢	材质：不锈钢；规格/口径：50mm	清洁办公后勤/门窗五金	清洁办公后勤	门窗五金	门窗五金	把	45.00	CNY	按常见工程采购价估算，单价对应单位=把；按物料族“门窗五金”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=2.2500；金额按四舍五入保留两位小数。	无需补齐	50不锈钢挂锁；挂锁			挂锁	挂锁 50mm 不锈钢	材质：不锈钢；规格/口径：50mm	把	2026-07-08
HW-LOCK-000003	HW-LOCK-000003	1	抽锁	抽锁 5寸 不锈钢	材质：不锈钢；规格/口径：5寸	清洁办公后勤/门窗五金	清洁办公后勤	门窗五金	门窗五金	个	33.75	CNY	按常见工程采购价估算，单价对应单位=个；按物料族“门窗五金”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=2.2500；金额按四舍五入保留两位小数。	无需补齐	5寸不锈钢抽锁；抽锁			抽锁	抽锁 5寸 不锈钢	材质：不锈钢；规格/口径：5寸	个	2026-07-08
HW-LOCK-000004	HW-LOCK-000004	1	挂锁	挂锁 40mm 不锈钢	材质：不锈钢；规格/口径：40mm	清洁办公后勤/门窗五金	清洁办公后勤	门窗五金	门窗五金	把	33.75	CNY	按常见工程采购价估算，单价对应单位=把；按物料族“门窗五金”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=2.2500；金额按四舍五入保留两位小数。	无需补齐	40不锈钢挂锁；挂锁；40好不锈钢挂锁；40好不锈钢通用挂锁；40不锈钢通用挂锁；不锈钢挂锁；不锈钢挂锁40			挂锁	挂锁 40mm 不锈钢	材质：不锈钢；规格/口径：40mm	把	2026-07-08
HW-LOCK-000005	HW-LOCK-000005	1	挂锁	挂锁 40mm 铜	材质：铜；规格/口径：40mm	清洁办公后勤/门窗五金	清洁办公后勤	门窗五金	门窗五金	把	56.25	CNY	按常见工程采购价估算，单价对应单位=把；按物料族“门窗五金”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=2.2500；金额按四舍五入保留两位小数。	无需补齐	铜挂锁；挂锁；铜锁			挂锁	挂锁 40mm 铜	材质：铜；规格/口径：40mm	把	2026-07-08
HW-LOCK-000008	HW-LOCK-000008	1	门锁	门锁 大门	适用场景：大门	清洁办公后勤/门窗五金	清洁办公后勤	门窗五金	门窗五金	把	90.00	CNY	按常见工程采购价估算，单价对应单位=把；按物料族“门窗五金”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=2.2500；金额按四舍五入保留两位小数。	材质补齐为不锈钢	大门锁；门锁			门锁	门锁 大门	适用场景：大门	把	2026-07-08
HW-LOCK-000009	HW-LOCK-000009	1	门锁	门锁 不锈钢 防盗门	材质：不锈钢；适用场景：防盗门	清洁办公后勤/门窗五金	清洁办公后勤	门窗五金	门窗五金	个	135.00	CNY	按常见工程采购价估算，单价对应单位=个；按物料族“门窗五金”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=2.2500；金额按四舍五入保留两位小数。	无需补齐	防盗门锁不锈钢；防盗门锁			门锁	门锁 不锈钢 防盗门	材质：不锈钢；适用场景：防盗门	个	2026-07-08
HW-LOCK-000011	HW-LOCK-000011	1	挂锁	挂锁 40mm 铜 通开	材质：铜；规格/口径：40mm；钥匙类型：通开	清洁办公后勤/门窗五金	清洁办公后勤	门窗五金	门窗五金	把	67.50	CNY	按常见工程采购价估算，单价对应单位=把；按物料族“门窗五金”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=2.2500；金额按四舍五入保留两位小数。	无需补齐	通开铜挂锁；挂锁			挂锁	挂锁 40mm 铜 通开	材质：铜；规格/口径：40mm；钥匙类型：通开	把	2026-07-08
HW-LOCK-000013	HW-LOCK-000013	1	锁扣	不锈钢锁扣	材质：不锈钢	清洁办公后勤/门窗五金	清洁办公后勤	门窗五金	门窗五金	套	11.25	CNY	按常见工程采购价估算，单价对应单位=套；按物料族“门窗五金”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=2.2500；金额按四舍五入保留两位小数。	无需补齐	不锈钢锁扣；不锈钢外门锁扣；锁扣			锁扣	不锈钢锁扣	材质：不锈钢	套	2026-07-08
HW-LOCK-000016	HW-LOCK-000016	1	门锁	门锁 铝合金 断桥铝门	材质：铝合金；适用场景：断桥铝门	清洁办公后勤/门窗五金	清洁办公后勤	门窗五金	门窗五金	套	112.50	CNY	按常见工程采购价估算，单价对应单位=套；按物料族“门窗五金”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=2.2500；金额按四舍五入保留两位小数。	无需补齐	铝合金断桥铝门锁；门锁			门锁	门锁 铝合金 断桥铝门	材质：铝合金；适用场景：断桥铝门	套	2026-07-08
